,AKIBA MAID HERO’ｓ,,,,お屋敷公演,,,,,,,,
,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計
売上,4日間,4日間,5日間,6日間,,,,,,,,,48日間
売上予算,"¥5,500,000","¥5,500,000","¥6,000,000",,,,,,,,,,
物販（会場内チェキ）,,,,,,,,,,,,,¥0
物販（会場内グッズ）,,,,,,,,,,,,,¥0
ガイドツアー,,,,,,,,,,,,,¥0
グッズ（MD）,,,,,,,,,,,,,¥0
グッズ通販（MD）,,,,,,,,,,,,,¥0
チケット（前売り）,,,,,,,,,,,,,¥0
チケット（当日）,,,,,,,,,,,,,¥0
チケット（海外）,,,,,,,,,,,,,¥0
外部,,,,,,,,,,,,,¥0
売上合計(税込),¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
売上合計(税抜),¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
昨年売上,"¥2,850,141","¥4,832,267","¥4,003,780","¥5,075,748","¥5,075,748","¥6,852,649","¥5,793,510","¥4,625,209","¥6,681,995","¥6,765,877","¥8,233,040",¥0,"¥60,789,964"
昨対比,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,#DIV/0!,0%
予算達成率,0%,0%,0%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,
,,,,,,,,,,,,,
支出,,,,,,,,,,,,,
変動費予算,"¥6,800,000","¥4,400,000","¥4,800,000",,,,,,,,,,"¥16,000,000"
原価合計(税込),¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
原価合計(税抜),,,,,,,,,,,,,¥0
販管費,,,,,,,,,,,,,¥0
予算対比,0.00%,0.00%,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,
営業利益,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
,,,,,,,,,,,,,
利益率,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
利益15％,,,,,,,,,,,,,